date,Skiing,Rafting,Cycling,Ice Skating,Surfing,Snowboarding
2008-08-24,364.13803828678016,578.7052204200926,1045.1475431600932,252.9499947540403,797.3032642083907,289.2616357920081
2008-08-31,410.0687303670616,415.75923049180784,1063.4750368329749,279.6845767303415,785.1279807534871,332.28107435820215
2008-09-07,434.21372795014935,331.00349839273275,1022.272397396032,269.3033817674506,809.4062650628996,348.5621522353579
2008-09-14,446.1908932014598,295.4458098373376,962.5200783474488,275.39060763415085,685.4342595285356,356.4684134350168
2008-09-21,474.06925308183327,255.0967123952545,998.8747573691488,286.50353045254843,655.3215788071122,419.7183863562124
2008-09-28,484.5628034115065,188.63812563472908,831.729536108426,290.5015103907828,675.1734425343126,430.9090714960867
2008-10-05,532.9991672896253,201.7212189234708,851.5482017299562,351.46218978217,776.7083512194788,493.47091260545903
2008-10-12,527.0404274177,176.42601727458484,789.8547670387655,353.57907805715723,651.547696496852,518.3004492334313
2008-10-19,663.7269645715827,138.55409819875894,780.5861654535782,365.28194486030026,670.6068319753389,542.40308039242
2008-10-26,675.5111611602767,125.69192113150874,781.0071188809552,382.4744139826848,629.32650449076,629.3370015359816
2008-11-02,740.1662753698262,100.5092515933781,705.3981957484134,530.5214967812869,644.0183911784962,646.8907495235044
2008-11-09,907.3617981498268,123.292502002957,745.4030114007056,733.9777228949927,720.1595566324174,957.9641675091232
2008-11-16,1022.8183355959444,117.49810161211956,745.4514986590349,907.0917313499064,706.3676300848043,1243.6714147173388
2008-11-23,1029.3927916965774,114.05763966692338,775.241789469601,1358.205764474292,723.2465547154862,1273.9012630904938
2008-11-30,1316.4947335798067,128.03775497464463,805.1110473937229,1324.2891562226223,733.249770296485,1207.4991569799463
2008-12-07,1416.4457539943005,112.37032704844904,746.388442399076,1397.6470118728423,690.1651690698724,1299.016361478128
2008-12-14,1638.7389469124482,119.75289705542176,692.8428873899079,1661.5390333451808,585.6374117637638,1355.1990358224125
2008-12-21,2212.5048798105163,130.10996898453772,758.5333408846991,2382.295849744252,675.1451004793386,1661.1371374832856
2008-12-28,2161.476113962076,190.2961144871683,809.1458940029892,3232.1917408601707,668.27654710769,1432.4654039362665
2009-01-04,1858.3980157724664,194.26252034556464,792.5493664858496,1369.461478385744,652.1048761238658,1167.072554614767
2009-01-11,1927.120573620872,189.54413547623787,805.9215673793763,1061.2707358959476,683.3300424096514,1087.7094033417277
2009-01-18,1627.8000651014356,187.3853413604068,903.8674269777778,1144.094717569888,699.2795089962316,984.8484958311928
2009-01-25,1517.908032693597,189.3904154506656,845.1573653955794,949.5640982982196,638.5495611375216,1038.2460504767323
2009-02-01,1405.4045558225102,199.18864072133,888.794664054875,792.7721768911483,595.39514169289,995.8849081420796
2009-02-08,1327.0960821395267,203.34990353954512,881.3786709745583,788.1256233721275,596.3245197090295,737.4058424383572
2009-02-15,1236.2383339727155,248.31845592694395,1087.1924477166897,761.210458951705,597.7203661844268,756.0019277624924
2009-02-22,997.8967772155044,236.7552712890768,1040.901227754702,514.4304848073672,644.0512968767226,641.8593316045836
2009-03-01,888.9894142894248,256.0230071704312,919.7172826328236,447.4648575184386,624.7220531053858,585.9083922394774
2009-03-08,777.9738146555387,245.1757951687344,999.6990146108606,433.5104318661682,702.6870039858604,459.26950561072266
2009-03-15,1015.4964885243194,286.9353113000314,1015.0247021208238,366.6712412100891,734.3317592718585,425.9788959984269
2009-03-22,620.168104551324,296.80120285641334,1005.642112093316,372.17065056421234,684.3632576746214,341.83109022571097
2009-03-29,455.39856148839726,332.5205578439587,1011.7967812680442,343.8854137656635,710.6686752133045,282.17540216238245
2009-04-05,360.2819215411747,360.0099482597989,1048.9803148507835,288.3085284877197,648.3241104323582,276.1090214783651
2009-04-12,309.4605368798982,341.396611167624,1042.9731304436748,269.2718385610035,710.6989315151641,254.4374805404394
2009-04-19,278.4047164201953,413.3103039589242,1064.49932887891,212.646130115162,694.1206287892612,251.98574918448784
2009-04-26,267.86618958229525,396.8488553309814,1023.7263637201382,199.5316283503909,695.5024939984751,185.1898026290532
2009-05-03,252.68515214727225,469.19588729941466,1139.9827374110455,187.26029439426168,731.4175481544509,196.2133287703149
2009-05-10,255.4299768614108,593.5298000929847,1176.313796376469,193.58241622435733,745.8751039444656,171.9040819278307
2009-05-17,266.8037160614375,703.9237489094144,1135.9072745302017,188.8911610981264,749.1693494678315,167.0834810345885
2009-05-24,279.8685885950709,708.5825651111938,1171.526217699588,202.2060579621964,779.8815745187766,201.5291898103821
2009-05-31,265.4076140480049,762.073397132083,1207.324606865218,195.6511135517568,772.1882176603497,171.74998238262668
2009-06-07,260.4328248773752,761.3471414606447,1152.9799891071507,234.1378683461372,757.8220284437231,186.17568953767872
2009-06-14,278.76219208013805,820.7485712908873,1177.3651803051878,272.53354487905324,731.319350521773,183.18732783453416
2009-06-21,277.0027504950488,1024.9887294784576,1181.4160180761032,211.30371532593932,795.982906984366,162.14517619266348
2009-06-28,321.24209052365325,1127.928798083944,1334.537027092725,242.98837174148744,819.958406866985,144.37835507147875
2009-07-05,302.5842694868662,1083.861438809931,1952.5522413696744,270.3804059475233,737.7241522224889,164.3606780133737
2009-07-12,301.73070110393263,1054.3776547399427,1875.671604287025,265.8405518539095,815.0837626956051,176.4220553107874
2009-07-19,325.8593156912593,1028.0942638219128,1885.6632000043724,247.6464764771063,1086.1564881087825,186.7579765039333
2009-07-26,305.9001565642746,973.4618857802648,1988.7457903306008,282.84692021746395,1018.6304800565364,189.85373296071865
2009-08-02,300.60436984174464,903.807970054704,1252.2658662856882,273.60258434883366,763.8144461224057,228.87563404933616
2009-08-09,353.8583823933532,790.1011229774301,1241.4963087560684,264.0334149678871,764.7654290331861,200.41567877661515
2009-08-16,345.7279382718419,654.0200180974554,1149.195945884342,265.76412912867846,832.6919291359534,267.5064727161449
2009-08-23,394.337521133448,462.7270873609551,980.1917180855704,247.5493801856475,725.0885939134306,245.2291457754999
2009-08-30,359.0287369754691,501.405990236502,1079.9673619872435,271.64846573668774,708.0769982521307,275.6758312313584
2009-09-06,414.1504892198319,348.45255541713425,1034.488506167026,266.21002067253664,714.026568228932,305.0325748695787
2009-09-13,373.07864072578167,290.7096766565731,919.5113142314018,222.2279178948753,669.37457529991,294.76226940055454
2009-09-20,424.11363970026594,243.3582652611332,967.8737952990622,258.6286568859067,650.0415911495704,326.4679063870456
2009-09-27,428.431010657542,208.97321473837303,915.10909086813,286.4615074717566,666.9770205883544,420.5644077432633
2009-10-04,546.7002858615556,183.6493648656074,879.5237014824892,338.85295307093327,607.0144648967629,437.8770481601027
2009-10-11,577.0479622478916,155.65294891208774,931.5217366419688,377.5041892583493,601.4380403459621,502.49557258970646
2009-10-18,600.2539477955879,134.49031107656782,813.3530730893586,421.9895026172642,647.6714234084577,484.6212411646402
2009-10-25,620.0491431213188,118.34696284899364,800.0192835031714,398.7246196396728,620.8390484997626,440.8177664971332
2009-11-01,622.4412167411442,119.09915560420144,778.0349388107087,546.3150272485025,677.389202017854,547.6001311186626
2009-11-08,723.8475790120622,116.90021289205968,785.9108012766329,662.0160325008185,663.1610027707458,579.8277761614809
2009-11-15,800.0859282820217,119.8090666759385,776.9854360557127,764.4729544128697,652.6831489062315,590.2228440722068
2009-11-22,814.078582211442,106.84126453494451,784.8048453722259,1124.613674609779,724.9719990767949,691.4513019047976
2009-11-29,984.367073800382,115.31192196673972,864.2386318593562,1264.7423871158585,732.4465584401161,790.8658613035212
